run	Vout
1.410000000000000e+002	4.995158e+000
1.420000000000000e+002	4.994472e+000
1.430000000000000e+002	5.001783e+000
1.440000000000000e+002	5.008564e+000
1.450000000000000e+002	4.978805e+000
1.460000000000000e+002	5.006568e+000
1.470000000000000e+002	4.992628e+000
1.480000000000000e+002	5.032119e+000
1.490000000000000e+002	4.996900e+000
1.500000000000000e+002	4.987021e+000
1.510000000000000e+002	5.017226e+000
1.520000000000000e+002	5.040189e+000
1.530000000000000e+002	4.983409e+000
1.540000000000000e+002	5.020091e+000
1.550000000000000e+002	5.003176e+000
1.560000000000000e+002	4.981646e+000
1.570000000000000e+002	4.972526e+000
1.580000000000000e+002	4.994322e+000
1.590000000000000e+002	5.014784e+000
1.600000000000000e+002	4.993649e+000
1.610000000000000e+002	4.992217e+000
1.620000000000000e+002	4.989445e+000
1.630000000000000e+002	5.035200e+000
1.640000000000000e+002	5.026195e+000
1.650000000000000e+002	4.981478e+000
1.660000000000000e+002	4.987509e+000
1.670000000000000e+002	5.020229e+000
1.680000000000000e+002	4.990205e+000
1.690000000000000e+002	4.983851e+000
1.700000000000000e+002	5.009928e+000
1.710000000000000e+002	5.030621e+000
1.720000000000000e+002	4.983109e+000
1.730000000000000e+002	5.015198e+000
1.740000000000000e+002	5.029254e+000
1.750000000000000e+002	5.035780e+000
1.760000000000000e+002	4.986690e+000
1.770000000000000e+002	5.006578e+000
1.780000000000000e+002	5.005638e+000
1.790000000000000e+002	4.995477e+000
1.800000000000000e+002	4.992364e+000
1.810000000000000e+002	5.022806e+000
1.820000000000000e+002	4.998918e+000
1.830000000000000e+002	5.014668e+000
1.840000000000000e+002	5.000223e+000
1.850000000000000e+002	5.004222e+000
1.860000000000000e+002	5.005085e+000
1.870000000000000e+002	5.024323e+000
1.880000000000000e+002	4.992538e+000
1.890000000000000e+002	5.035935e+000
1.900000000000000e+002	5.018174e+000
1.910000000000000e+002	4.986430e+000
1.920000000000000e+002	4.983839e+000
1.930000000000000e+002	4.989906e+000
1.940000000000000e+002	4.966314e+000
1.950000000000000e+002	5.025175e+000
1.960000000000000e+002	4.994756e+000
1.970000000000000e+002	4.993594e+000
1.980000000000000e+002	5.024723e+000
1.990000000000000e+002	5.031725e+000
2.000000000000000e+002	5.001011e+000
2.010000000000000e+002	5.022006e+000
